underlyingValue,leg_6381bc63_call_90_hoy,leg_6381bc63_call_90_vcto,und_hoy,und_vcto,P&L Hoy,P&L Vcto
56.17,61856.81,86000.0,0.0,0.0,61856.81,86000.0
56.98,60723.67,86000.0,0.0,0.0,60723.67,86000.0
57.79,59563.39,86000.0,0.0,0.0,59563.39,86000.0
58.6,58376.13,86000.0,0.0,0.0,58376.13,86000.0
59.41,57162.06,86000.0,0.0,0.0,57162.06,86000.0
60.21,55921.35,86000.0,0.0,0.0,55921.35,86000.0
61.02,54654.2,86000.0,0.0,0.0,54654.2,86000.0
61.83,53360.81,86000.0,0.0,0.0,53360.81,86000.0
62.64,52041.38,86000.0,0.0,0.0,52041.38,86000.0
63.45,50696.11,86000.0,0.0,0.0,50696.11,86000.0
64.26,49325.23,86000.0,0.0,0.0,49325.23,86000.0
65.07,47928.96,86000.0,0.0,0.0,47928.96,86000.0
65.88,46507.52,86000.0,0.0,0.0,46507.52,86000.0
66.68,45061.15,86000.0,0.0,0.0,45061.15,86000.0
67.49,43590.09,86000.0,0.0,0.0,43590.09,86000.0
68.3,42094.58,86000.0,0.0,0.0,42094.58,86000.0
69.11,40574.86,86000.0,0.0,0.0,40574.86,86000.0
69.92,39031.18,86000.0,0.0,0.0,39031.18,86000.0
70.73,37463.79,86000.0,0.0,0.0,37463.79,86000.0
71.54,35872.95,86000.0,0.0,0.0,35872.95,86000.0
72.35,34258.9,86000.0,0.0,0.0,34258.9,86000.0
73.15,32621.9,86000.0,0.0,0.0,32621.9,86000.0
73.96,30962.22,86000.0,0.0,0.0,30962.22,86000.0
74.77,29280.12,86000.0,0.0,0.0,29280.12,86000.0
75.58,27575.84,86000.0,0.0,0.0,27575.84,86000.0
76.39,25849.65,86000.0,0.0,0.0,25849.65,86000.0
77.2,24101.82,86000.0,0.0,0.0,24101.82,86000.0
78.01,22332.6,86000.0,0.0,0.0,22332.6,86000.0
78.82,20542.26,86000.0,0.0,0.0,20542.26,86000.0
79.63,18731.06,86000.0,0.0,0.0,18731.06,86000.0
80.43,16899.25,86000.0,0.0,0.0,16899.25,86000.0
81.24,15047.1,86000.0,0.0,0.0,15047.1,86000.0
82.05,13174.87,86000.0,0.0,0.0,13174.87,86000.0
82.86,11282.8,86000.0,0.0,0.0,11282.8,86000.0
83.67,9371.18,86000.0,0.0,0.0,9371.18,86000.0
84.48,7440.24,86000.0,0.0,0.0,7440.24,86000.0
85.29,5490.24,86000.0,0.0,0.0,5490.24,86000.0
86.1,3521.43,86000.0,0.0,0.0,3521.43,86000.0
86.9,1534.07,86000.0,0.0,0.0,1534.07,86000.0
87.71,-471.59,86000.0,0.0,0.0,-471.59,86000.0
88.52,-2495.31,86000.0,0.0,0.0,-2495.31,86000.0
89.33,-4536.84,86000.0,0.0,0.0,-4536.84,86000.0
90.14,-6595.93,85442.34,0.0,0.0,-6595.93,85442.34
90.95,-8672.34,82207.15,0.0,0.0,-8672.34,82207.15
91.76,-10765.84,78971.97,0.0,0.0,-10765.84,78971.97
92.57,-12876.18,75736.78,0.0,0.0,-12876.18,75736.78
93.37,-15003.13,72501.6,0.0,0.0,-15003.13,72501.6
94.18,-17146.45,69266.41,0.0,0.0,-17146.45,69266.41
94.99,-19305.92,66031.22,0.0,0.0,-19305.92,66031.22
95.8,-21481.3,62796.04,0.0,0.0,-21481.3,62796.04
96.61,-23672.36,59560.85,0.0,0.0,-23672.36,59560.85
97.42,-25878.88,56325.67,0.0,0.0,-25878.88,56325.67
98.23,-28100.64,53090.48,0.0,0.0,-28100.64,53090.48
99.04,-30337.43,49855.3,0.0,0.0,-30337.43,49855.3
99.84,-32589.01,46620.11,0.0,0.0,-32589.01,46620.11
100.65,-34855.19,43384.92,0.0,0.0,-34855.19,43384.92
101.46,-37135.73,40149.74,0.0,0.0,-37135.73,40149.74
102.27,-39430.44,36914.55,0.0,0.0,-39430.44,36914.55
103.08,-41739.12,33679.37,0.0,0.0,-41739.12,33679.37
103.89,-44061.54,30444.18,0.0,0.0,-44061.54,30444.18
104.7,-46397.51,27208.99,0.0,0.0,-46397.51,27208.99
105.51,-48746.84,23973.81,0.0,0.0,-48746.84,23973.81
106.32,-51109.32,20738.62,0.0,0.0,-51109.32,20738.62
107.12,-53484.75,17503.44,0.0,0.0,-53484.75,17503.44
107.93,-55872.96,14268.25,0.0,0.0,-55872.96,14268.25
108.74,-58273.74,11033.07,0.0,0.0,-58273.74,11033.07
109.55,-60686.9,7797.88,0.0,0.0,-60686.9,7797.88
110.36,-63112.28,4562.69,0.0,0.0,-63112.28,4562.69
111.17,-65549.67,1327.51,0.0,0.0,-65549.67,1327.51
111.98,-67998.91,-1907.68,0.0,0.0,-67998.91,-1907.68
112.79,-70459.82,-5142.86,0.0,0.0,-70459.82,-5142.86
113.59,-72932.21,-8378.05,0.0,0.0,-72932.21,-8378.05
114.4,-75415.92,-11613.24,0.0,0.0,-75415.92,-11613.24
115.21,-77910.78,-14848.42,0.0,0.0,-77910.78,-14848.42
116.02,-80416.62,-18083.61,0.0,0.0,-80416.62,-18083.61
116.83,-82933.27,-21318.79,0.0,0.0,-82933.27,-21318.79
117.64,-85460.57,-24553.98,0.0,0.0,-85460.57,-24553.98
118.45,-87998.36,-27789.16,0.0,0.0,-87998.36,-27789.16
119.26,-90546.49,-31024.35,0.0,0.0,-90546.49,-31024.35
120.06,-93104.79,-34259.54,0.0,0.0,-93104.79,-34259.54
120.87,-95673.12,-37494.72,0.0,0.0,-95673.12,-37494.72
121.68,-98251.31,-40729.91,0.0,0.0,-98251.31,-40729.91
122.49,-100839.23,-43965.09,0.0,0.0,-100839.23,-43965.09
123.3,-103436.72,-47200.28,0.0,0.0,-103436.72,-47200.28
124.11,-106043.64,-50435.47,0.0,0.0,-106043.64,-50435.47
124.92,-108659.84,-53670.65,0.0,0.0,-108659.84,-53670.65
125.73,-111285.2,-56905.84,0.0,0.0,-111285.2,-56905.84
126.54,-113919.56,-60141.02,0.0,0.0,-113919.56,-60141.02
127.34,-116562.78,-63376.21,0.0,0.0,-116562.78,-63376.21
128.15,-119214.75,-66611.39,0.0,0.0,-119214.75,-66611.39
128.96,-121875.32,-69846.58,0.0,0.0,-121875.32,-69846.58
129.77,-124544.36,-73081.77,0.0,0.0,-124544.36,-73081.77
130.58,-127221.75,-76316.95,0.0,0.0,-127221.75,-76316.95
131.39,-129907.35,-79552.14,0.0,0.0,-129907.35,-79552.14
132.2,-132601.05,-82787.32,0.0,0.0,-132601.05,-82787.32
133.01,-135302.72,-86022.51,0.0,0.0,-135302.72,-86022.51
133.81,-138012.24,-89257.7,0.0,0.0,-138012.24,-89257.7
134.62,-140729.5,-92492.88,0.0,0.0,-140729.5,-92492.88
135.43,-143454.36,-95728.07,0.0,0.0,-143454.36,-95728.07
136.24,-146186.73,-98963.25,0.0,0.0,-146186.73,-98963.25
137.05,-148926.48,-102198.44,0.0,0.0,-148926.48,-102198.44
137.86,-151673.51,-105433.62,0.0,0.0,-151673.51,-105433.62
138.67,-154427.7,-108668.81,0.0,0.0,-154427.7,-108668.81
139.48,-157188.95,-111904.0,0.0,0.0,-157188.95,-111904.0
140.28,-159957.15,-115139.18,0.0,0.0,-159957.15,-115139.18
141.09,-162732.19,-118374.37,0.0,0.0,-162732.19,-118374.37
141.9,-165513.98,-121609.55,0.0,0.0,-165513.98,-121609.55
142.71,-168302.4,-124844.74,0.0,0.0,-168302.4,-124844.74
143.52,-171097.36,-128079.93,0.0,0.0,-171097.36,-128079.93
144.33,-173898.77,-131315.11,0.0,0.0,-173898.77,-131315.11
145.14,-176706.52,-134550.3,0.0,0.0,-176706.52,-134550.3
145.95,-179520.52,-137785.48,0.0,0.0,-179520.52,-137785.48
146.76,-182340.68,-141020.67,0.0,0.0,-182340.68,-141020.67
147.56,-185166.9,-144255.85,0.0,0.0,-185166.9,-144255.85
148.37,-187999.09,-147491.04,0.0,0.0,-187999.09,-147491.04
149.18,-190837.16,-150726.23,0.0,0.0,-190837.16,-150726.23
